Airline,Aircraft,FlightDuration,TravelMonth,IsInternational,SeatsEconomy,SeatsPremium,PitchEconomy,PitchPremium,WidthEconomy,WidthPremium,PriceEconomy,PricePremium,PriceRelative,SeatsTotal,PitchDifference,WidthDifference,PercentPremiumSeats
British,Boeing,12.25,Jul,International,122,40,31,38,18,19,2707,3725,0.38,162,7,1,24.69
British,Boeing,12.25,Aug,International,122,40,31,38,18,19,2707,3725,0.38,162,7,1,24.69
British,Boeing,12.25,Sep,International,122,40,31,38,18,19,2707,3725,0.38,162,7,1,24.69
British,Boeing,12.25,Oct,International,122,40,31,38,18,19,2707,3725,0.38,162,7,1,24.69
British,Boeing,8.16,Aug,International,122,40,31,38,18,19,1793,2999,0.67,162,7,1,24.69
British,Boeing,8.16,Sep,International,122,40,31,38,18,19,1793,2999,0.67,162,7,1,24.69
British,Boeing,8.16,Oct,International,122,40,31,38,18,19,1793,2999,0.67,162,7,1,24.69
British,Boeing,6.5,Aug,International,122,40,31,38,18,19,1476,2997,1.03,162,7,1,24.69
British,Boeing,6.5,Sep,International,122,40,31,38,18,19,1476,2997,1.03,162,7,1,24.69
British,Boeing,11.5,Sep,International,122,40,31,38,18,19,1705,2989,0.75,162,7,1,24.69
British,Boeing,11.5,Oct,International,122,40,31,38,18,19,1705,2989,0.75,162,7,1,24.69
British,Boeing,11.5,Aug,International,122,40,31,38,18,19,1911,2989,0.56,162,7,1,24.69
British,Boeing,11.5,Jul,International,122,40,31,38,18,19,2378,2989,0.26,162,7,1,24.69
British,Boeing,11.58,Aug,International,122,40,31,38,18,19,1750,2656,0.52,162,7,1,24.69
British,Boeing,11.58,Sep,International,122,40,31,38,18,19,1750,2656,0.52,162,7,1,24.69
British,Boeing,11.58,Oct,International,122,40,31,38,18,19,1750,2656,0.52,162,7,1,24.69
British,Boeing,9.16,Aug,International,122,40,31,38,18,19,1813,2504,0.38,162,7,1,24.69
British,Boeing,9.16,Sep,International,122,40,31,38,18,19,1813,2504,0.38,162,7,1,24.69
British,Boeing,9.16,Oct,International,122,40,31,38,18,19,1813,2504,0.38,162,7,1,24.69
British,Boeing,6.75,Aug,International,122,40,31,38,18,19,1634,2195,0.34,162,7,1,24.69
British,Boeing,6.75,Sep,International,122,40,31,38,18,19,1634,2195,0.34,162,7,1,24.69
British,Boeing,6.75,Oct,International,122,40,31,38,18,19,1634,2195,0.34,162,7,1,24.69
British,Boeing,6.66,Aug,International,122,40,31,38,18,19,1651,2191,0.33,162,7,1,24.69
British,Boeing,6.66,Sep,International,122,40,31,38,18,19,1651,2191,0.33,162,7,1,24.69
British,Boeing,6.66,Oct,International,122,40,31,38,18,19,1651,2191,0.33,162,7,1,24.69
British,Boeing,8.75,Aug,International,122,40,31,38,18,19,1542,2084,0.35,162,7,1,24.69
British,Boeing,8.75,Sep,International,122,40,31,38,18,19,1566,2084,0.33,162,7,1,24.69
British,Boeing,8.75,Oct,International,122,40,31,38,18,19,1566,2084,0.33,162,7,1,24.69
British,Boeing,4.91,Aug,International,122,40,31,38,18,19,1356,1820,0.34,162,7,1,24.69
British,Boeing,4.91,Sep,International,122,40,31,38,18,19,1356,1820,0.34,162,7,1,24.69
British,Boeing,4.91,Oct,International,122,40,31,38,18,19,1356,1820,0.34,162,7,1,24.69
British,Boeing,3.83,Jul,International,122,40,31,38,18,19,1242,1764,0.42,162,7,1,24.69
British,Boeing,3.83,Aug,International,122,40,31,38,18,19,1242,1764,0.42,162,7,1,24.69
British,Boeing,3.83,Sep,International,122,40,31,38,18,19,1242,1764,0.42,162,7,1,24.69
British,Boeing,3.83,Oct,International,122,40,31,38,18,19,1242,1764,0.42,162,7,1,24.69
British,Boeing,13.5,Aug,International,122,40,31,38,18,19,940,1548,0.65,162,7,1,24.69
British,Boeing,13.5,Sep,International,122,40,31,38,18,19,940,1548,0.65,162,7,1,24.69
British,Boeing,13.5,Oct,International,122,40,31,38,18,19,940,1548,0.65,162,7,1,24.69
British,Boeing,3.83,Jul,International,122,40,31,38,18,19,1224,1512,0.24,162,7,1,24.69
British,Boeing,3.83,Aug,International,122,40,31,38,18,19,1224,1512,0.24,162,7,1,24.69
British,Boeing,3.83,Sep,International,122,40,31,38,18,19,1224,1512,0.24,162,7,1,24.69
British,Boeing,3.83,Oct,International,122,40,31,38,18,19,1224,1512,0.24,162,7,1,24.69
British,Boeing,5.41,Aug,International,122,40,31,38,18,19,1127,1317,0.17,162,7,1,24.69
British,Boeing,5.41,Sep,International,122,40,31,38,18,19,1127,1317,0.17,162,7,1,24.69
British,Boeing,5.41,Oct,International,122,40,31,38,18,19,1127,1317,0.17,162,7,1,24.69
British,Boeing,8.25,Aug,International,122,40,31,38,18,19,1123,1213,0.08,162,7,1,24.69
British,Boeing,8.25,Sep,International,122,40,31,38,18,19,1123,1213,0.08,162,7,1,24.69
British,Boeing,8.25,Oct,International,122,40,31,38,18,19,1123,1213,0.08,162,7,1,24.69
British,Boeing,12.75,Aug,International,122,40,31,38,18,19,509,773,0.52,162,7,1,24.69
British,Boeing,12.75,Sep,International,122,40,31,38,18,19,509,773,0.52,162,7,1,24.69
British,Boeing,12.75,Oct,International,122,40,31,38,18,19,509,773,0.52,162,7,1,24.69
British,Boeing,6.5,Oct,International,127,39,31,38,18,19,1476,2997,1.03,166,7,1,23.49
British,Boeing,11.08,Aug,International,127,39,31,38,18,19,2156,2933,0.36,166,7,1,23.49
British,Boeing,11.08,Sep,International,127,39,31,38,18,19,2156,2933,0.36,166,7,1,23.49
British,Boeing,11.08,Oct,International,127,39,31,38,18,19,2156,2933,0.36,166,7,1,23.49
British,Boeing,6.08,Aug,International,127,39,31,38,18,19,1634,2195,0.34,166,7,1,23.49
British,Boeing,6.08,Sep,International,127,39,31,38,18,19,1634,2195,0.34,166,7,1,23.49
British,Boeing,6.08,Oct,International,127,39,31,38,18,19,1634,2195,0.34,166,7,1,23.49
British,Boeing,12.5,Aug,International,127,39,31,38,18,19,1038,1259,0.21,166,7,1,23.49
British,Boeing,12.05,Sep,International,127,39,31,38,18,19,1038,1259,0.21,166,7,1,23.49
British,Boeing,12.5,Oct,International,127,39,31,38,18,19,509,818,0.61,166,7,1,23.49
Virgin,AirBus,8,Jul,International,185,48,31,38,18,21,1813,3128,0.73,233,7,3,20.6
Virgin,AirBus,8,Aug,International,185,48,31,38,18,21,1813,3128,0.73,233,7,3,20.6
Virgin,AirBus,8,Sep,International,185,48,31,38,18,21,1813,3128,0.73,233,7,3,20.6
Virgin,AirBus,8,Oct,International,185,48,31,38,18,21,1813,3128,0.73,233,7,3,20.6
Virgin,AirBus,8.83,Jul,International,185,48,31,38,18,21,2052,2856,0.39,233,7,3,20.6
Virgin,AirBus,8.83,Aug,International,185,48,31,38,18,21,2052,2856,0.39,233,7,3,20.6
Virgin,AirBus,8.83,Sep,International,185,48,31,38,18,21,2052,2856,0.39,233,7,3,20.6
Virgin,AirBus,8.83,Oct,International,185,48,31,38,18,21,2052,2856,0.39,233,7,3,20.6
Virgin,AirBus,7.08,Aug,International,185,48,31,38,18,21,1919,2409,0.26,233,7,3,20.6
Virgin,AirBus,7.08,Sep,International,185,48,31,38,18,21,1919,2409,0.26,233,7,3,20.6
Virgin,AirBus,7.08,Oct,International,185,48,31,38,18,21,1919,2409,0.26,233,7,3,20.6
Virgin,AirBus,7.75,Aug,International,185,48,31,38,18,21,540,594,0.1,233,7,3,20.6
Delta,Boeing,2.06,Aug,Domestic,78,20,31,34,18,18,158,173,0.09,98,3,0,20.41
Delta,Boeing,2.33,Sep,Domestic,78,20,31,34,18,18,189,204,0.08,98,3,0,20.41
Delta,Boeing,2.06,Jul,Domestic,78,20,31,34,18,18,228,243,0.07,98,3,0,20.41
Delta,Boeing,2.01,Oct,Domestic,78,20,31,34,18,18,222,237,0.07,98,3,0,20.41
Delta,Boeing,2.33,Oct,Domestic,78,20,31,34,18,18,216,231,0.07,98,3,0,20.41
Delta,Boeing,1.75,Jul,Domestic,78,20,31,34,18,18,391,406,0.04,98,3,0,20.41
Delta,Boeing,2.3,Aug,Domestic,78,20,31,34,18,18,349,364,0.04,98,3,0,20.41
Delta,Boeing,2.3,Jul,Domestic,78,20,31,34,18,18,581,596,0.03,98,3,0,20.41
British,Boeing,6.83,Jul,International,243,56,31,38,18,19,1444,2982,1.07,299,7,1,18.73
British,Boeing,6.83,Aug,International,243,56,31,38,18,19,1444,2982,1.07,299,7,1,18.73
British,Boeing,6.83,Sep,International,243,56,31,38,18,19,1444,2982,1.07,299,7,1,18.73
British,Boeing,6.83,Oct,International,243,56,31,38,18,19,1444,2982,1.07,299,7,1,18.73
British,Boeing,7.58,Aug,International,243,56,31,38,18,19,1824,2549,0.4,299,7,1,18.73
British,Boeing,7.58,Sep,International,243,56,31,38,18,19,1824,2549,0.4,299,7,1,18.73
British,Boeing,7.58,Oct,International,243,56,31,38,18,19,1824,2549,0.4,299,7,1,18.73
British,Boeing,7.58,Jul,International,243,56,31,38,18,19,1823,2548,0.4,299,7,1,18.73
