SlNo,Gender,Gender-B,Percent_SSC,Board_SSC,Board_CBSE,Board_ICSE,Percent_HSC,Board_HSC,Stream_HSC,Percent_Degree,Course_Degree,Degree_Engg,Experience_Yrs,Entrance_Test,S-TEST,Percentile_ET,S-TEST*SCORE,Percent_MBA,Specialization_MBA,Marks_Communication,Marks_Projectwork,Marks_BOCA,Placement,Placement_B,Salary
1,M,0,62,Others,0,0,88,Others,Commerce,52,Science,0,0,MAT,1,55,55,58.8,Marketing & HR,50,65,74,Placed,1,270000
2,M,0,76.33,ICSE,0,1,75.33,Others,Science,75.48,Computer Applications,0,1,MAT,1,86.5,86.5,66.28,Marketing & Finance,69,70,75,Placed,1,200000
3,M,0,72,Others,0,0,78,Others,Commerce,66.63,Engineering,1,0,None,0,0,0,52.91,Marketing & Finance,50,61,59,Placed,1,240000
4,M,0,60,CBSE,1,0,63,CBSE,Arts,58,Management,0,0,MAT,1,75,75,57.8,Marketing & Finance,54,66,62,Placed,1,250000
5,M,0,61,CBSE,1,0,55,ISC,Science,54,Engineering,1,1,MAT,1,66,66,59.43,Marketing & HR,52,65,67,Placed,1,180000
6,M,0,55,ICSE,0,1,64,CBSE,Commerce,50,Commerce,0,0,None,0,0,0,56.81,Marketing & Finance,53,70,53,Placed,1,300000
7,F,1,70,Others,0,0,54,Others,Science,65,Others,0,2,None,0,0,0,59.8,Marketing & HR,63,56,50,Placed,1,260000
8,M,0,68,ICSE,0,1,77,ISC,Commerce,72.5,Management,0,0,MAT,1,43.12,43.12,57.23,Marketing & Finance,74,72,50,Placed,1,235000
9,M,0,82.8,CBSE,1,0,70.6,CBSE,Commerce,69.3,Commerce,0,0,MAT,1,96.8,96.8,55.5,Marketing & Finance,65,76,70,Placed,1,425000
10,F,1,59,CBSE,1,0,74,CBSE,Arts,59,Management,0,1,None,0,0,0,63.83,Marketing & HR,50,59,77,Placed,1,240000
11,F,1,79.6,Others,0,0,87,ISC,Commerce,72.35,Management,0,0,K-MAT,1,98.69,98.69,69.78,Marketing & HR,71,67,60,Not Placed,0,0
12,M,0,58,Others,0,0,59,Others,Commerce,48,Commerce,0,0,MAT,1,79,79,54.01,Marketing & Finance,54,78,54,Placed,1,250000
13,M,0,60,Others,0,0,52.8,Others,Science,73.25,Computer Applications,0,1,MAT,1,55,55,51.58,Marketing & Finance,53,52,58,Placed,1,180000
14,M,0,66,CBSE,1,0,66.33,CBSE,Commerce,66.72,Commerce,0,0,None,0,0,0,66.92,Marketing & Finance,70,73,64,Placed,1,428000
15,M,0,83,Others,0,0,51,Others,Science,51,Engineering,1,0,CAT,1,33,33,58.21,Marketing & HR,50,68,63,Placed,1,450000
16,F,1,49,Others,0,0,52.2,Others,Commerce,85,Commerce,0,0,MAT,1,74.28,74.28,53.29,Marketing & Finance,50,65,74,Not Placed,0,0
17,M,0,68,Others,0,0,80,Others,Commerce,70,Commerce,0,0,None,0,0,0,58.94,Marketing & Finance,54,56,50,Placed,1,300000
18,M,0,37.33,Others,0,0,47.4,Others,Commerce,35.5,Commerce,0,0,None,0,0,0,54.78,Marketing & HR,50,57,50,Placed,1,240000
19,M,0,79,CBSE,1,0,59,CBSE,Science,60,Science,0,1,MAT,1,67,67,62.14,Marketing & Finance,54,78,62,Placed,1,252000
