store,Sales,Profit,MTenure,CTenure,Pop,Comp,Visibility,PedCount,Res,Hours24,CrewSkill,MgrSkill,ServQual
1,1060294,265014,0,24.80493,7535,2.797888,3,3,1,1,3.56,3.15,86.84327
2,1619874,424007,86.22219,6.63655,8630,4.235555,4,3,1,1,3.2,3.556667,94.7351
3,1099921,222735,23.88854,5.026694,9695,4.494666,3,3,1,1,3.8,4.116667,78.94776
4,1053860,210122,0,5.371663,2797,4.253946,4,2,1,1,2.06,4.1,100
5,1227841,300480,3.87737,6.86653,20335,1.651364,2,5,0,1,3.65,3.588889,68.42164
6,1703140,469050,149.9359,11.35113,16926,3.184613,3,4,1,0,3.58,4.605556,94.7351
7,1809256,476355,62.5308,7.326488,17754,3.3779,2,5,1,1,3.94,4.1,81.57837
8,1378482,361115,0,56.77208,20824,2.895114,4,3,1,1,3.98,3.8,78.94776
9,2113089,474725,108.9935,6.061602,26519,2.63763,2,4,1,1,3.22,3.583333,100
10,1080979,278625,31.47899,23.19507,16381,2.270771,4,3,1,0,3.54,3.561111,100
11,1583446,389886,44.81977,2.036961,21550,3.272398,2,5,1,1,3.43,3.2,100
12,1444714,329020,277.9877,6.63655,11160,4.903895,4,4,1,0,3.35,3.238889,100
13,857843,152513,0.6571813,1.577002,14186,4.435671,3,2,1,1,4.1,3,76.30609
14,1171491,261571,87.37226,2.956879,6898,4.233057,4,2,1,1,2.54,3.89,100
15,1005627,203951,0,8.476386,8684,3.84422,3,4,1,1,3.5,3.427778,94.7351
16,883864,196277,23.65853,4.681725,6872,3.344703,3,3,1,0,3.05,4,97.36939
17,1095695,265584,31.709,3.646817,14477,2.561704,3,4,1,1,3.2,3,78.94776
18,1704826,394039,239.9698,33.77413,3807,3.994713,5,3,1,1,3.18,3.866667,97.36939
19,1127332,261495,3.417343,16.98563,4669,2.753616,2,3,1,1,3.65,3.083333,68.42164
20,1320950,269235,65.06095,5.946612,15377,4.148495,3,2,1,1,3.8,3.894444,100
21,1237518,282584,24.11856,7.211499,14022,4.020201,3,3,1,1,3.6,3.677778,94.7351
22,1433440,367036,18.36822,25.95483,8280,4.46436,4,3,1,1,3.3,3.973333,100
23,1351972,277414,12.38787,3.416838,13797,3.594539,3,4,1,1,3.65,3.588889,100
24,1071307,267354,44.81977,3.416838,9069,3.28059,2,3,1,0,2.4,4.083333,100
25,1282886,282124,0,10.31622,6183,3.51702,3,3,1,1,2.93,3.5,86.84327
26,898548,211912,0.6571813,20.43532,9999,4.178195,3,2,1,1,3.52,3.1,97.36939
27,985862,230194,50.11008,17.44559,8153,3.719806,3,2,1,1,4.03,3.543333,100
28,1141465,273036,23.88854,16.98563,14673,3.193422,3,4,1,0,3.55,2.988889,84.20898
29,924782,263956,19.51829,23.54004,11350,5.392077,3,2,1,1,3.46,3.61,100
30,1874873,333607,73.34144,23.42505,1116,3.578323,3,2,1,1,3.52,3.473333,100
31,993597,211885,0,10.77618,2578,3.100689,2,2,1,1,2.86,3.673333,88.9286
32,828918,149033,36.07926,6.63655,9697,4.641468,3,3,1,0,3.28,3.55,73.68654
33,1369092,292745,51.72017,3.876797,8177,5.309016,3,2,1,1,3.56,3.088889,96.05408
34,1557084,382199,29.17885,19.74538,10923,2.361195,4,4,1,1,3.58,3.577778,97.36939
35,1443230,322624,36.99931,14.80082,14361,3.613021,4,3,1,1,3.9,3.916667,100
36,1016950,219292,41.59958,20.89528,3218,3.929021,3,2,1,1,3.5,4.244444,100
37,1202917,187765,23.1985,1.347023,8870,4.491863,3,3,1,1,3.38,4.016667,73.68654
38,991524,203184,15.60806,1.577002,6557,4.225993,3,2,1,1,3.68,4.494444,100
39,979361,221130,34.69918,5.486653,8896,5.046338,2,4,1,1,3.9,3.872222,81.57837
40,1042664,222913,122.7943,16.75565,2521,11.12788,3,4,1,1,3.45,4.194445,78.94776
41,744211,147327,14.91802,11.92608,9701,4.3646,2,3,1,1,3.03,3.672222,81.13993
42,1273855,264072,2.497289,86.09446,2106,3.231049,3,2,1,1,3.44,3.656667,98.68839
